repo,user_id,year,office,organization_role
synthetic_micro_repo_001,synthetic_user_0484,2020,Basic Energy Sciences,GRADUATE
synthetic_micro_repo_001,synthetic_user_0493,2020,Basic Energy Sciences,GRADUATE
synthetic_micro_repo_001,synthetic_user_0505,2020,Basic Energy Sciences,OTHER
synthetic_micro_repo_001,synthetic_user_0806,2020,Basic Energy Sciences,FACULTY
synthetic_micro_repo_002,synthetic_user_0123,2020,Basic Energy Sciences,SCIENTST
synthetic_micro_repo_002,synthetic_user_0780,2020,Basic Energy Sciences,FACULTY
synthetic_micro_repo_002,synthetic_user_1138,2020,Basic Energy Sciences,GRADUATE
synthetic_micro_repo_002,synthetic_user_1169,2020,Basic Energy Sciences,UNDRGRAD
synthetic_micro_repo_003,synthetic_user_0149,2020,Basic Energy Sciences,POSTDOC
synthetic_micro_repo_003,synthetic_user_0496,2020,Basic Energy Sciences,POSTDOC
synthetic_micro_repo_003,synthetic_user_0644,2020,Basic Energy Sciences,GRADUATE
synthetic_micro_repo_004,synthetic_user_0052,2020,Basic Energy Sciences,POSTDOC
synthetic_micro_repo_004,synthetic_user_0644,2020,Basic Energy Sciences,GRADUATE
synthetic_micro_repo_009,synthetic_user_0024,2020,High Energy Physics,FACULTY
synthetic_micro_repo_009,synthetic_user_0467,2020,High Energy Physics,GRADUATE
synthetic_micro_repo_009,synthetic_user_0997,2020,High Energy Physics,PROSTAFF
synthetic_micro_repo_009,synthetic_user_1001,2020,High Energy Physics,SCIENTST
synthetic_micro_repo_010,synthetic_user_0344,2020,High Energy Physics,GRADUATE
synthetic_micro_repo_010,synthetic_user_1132,2020,High Energy Physics,PROSTAFF
synthetic_micro_repo_011,synthetic_user_0058,2020,High Energy Physics,GRADUATE
synthetic_micro_repo_011,synthetic_user_0228,2020,High Energy Physics,OTHER
synthetic_micro_repo_011,synthetic_user_0993,2020,High Energy Physics,POSTDOC
synthetic_micro_repo_011,synthetic_user_1102,2020,High Energy Physics,POSTDOC
synthetic_micro_repo_012,synthetic_user_0014,2020,High Energy Physics,SCIENTST
synthetic_micro_repo_012,synthetic_user_0048,2020,High Energy Physics,SCIENTST
synthetic_micro_repo_012,synthetic_user_0124,2020,High Energy Physics,OTHER
synthetic_micro_repo_012,synthetic_user_0878,2020,High Energy Physics,SCIENTST
synthetic_micro_repo_013,synthetic_user_0604,2020,High Energy Physics,UNDRGRAD
synthetic_micro_repo_013,synthetic_user_0980,2020,High Energy Physics,GRADUATE
synthetic_micro_repo_017,synthetic_user_0948,2020,NERSC Directors Reserve,PROSTAFF
synthetic_micro_repo_017,synthetic_user_1136,2020,NERSC Directors Reserve,POSTDOC
synthetic_micro_repo_018,synthetic_user_0266,2020,NERSC Directors Reserve,SCIENTST
synthetic_micro_repo_018,synthetic_user_0340,2020,NERSC Directors Reserve,UNDRGRAD
synthetic_micro_repo_018,synthetic_user_0981,2020,NERSC Directors Reserve,FACULTY
synthetic_micro_repo_018,synthetic_user_1183,2020,NERSC Directors Reserve,POSTDOC
synthetic_micro_repo_019,synthetic_user_0136,2020,NERSC Directors Reserve,UNDRGRAD
synthetic_micro_repo_019,synthetic_user_0141,2020,NERSC Directors Reserve,UNDRGRAD
synthetic_micro_repo_019,synthetic_user_0745,2020,NERSC Directors Reserve,GRADUATE
synthetic_micro_repo_019,synthetic_user_1148,2020,NERSC Directors Reserve,GRADUATE
synthetic_micro_repo_020,synthetic_user_0663,2020,NERSC Directors Reserve,PROSTAFF
synthetic_micro_repo_020,synthetic_user_1023,2020,NERSC Directors Reserve,SCIENTST
synthetic_micro_repo_020,synthetic_user_1172,2020,NERSC Directors Reserve,SCIENTST
synthetic_micro_repo_021,synthetic_user_0234,2020,NERSC Directors Reserve,POSTDOC
synthetic_micro_repo_021,synthetic_user_0773,2020,NERSC Directors Reserve,SCIENTST
synthetic_micro_repo_025,synthetic_user_0363,2020,Biological and Environmental Research,GRADUATE
synthetic_micro_repo_025,synthetic_user_0884,2020,Biological and Environmental Research,POSTDOC
synthetic_micro_repo_026,synthetic_user_0584,2020,Biological and Environmental Research,SCIENTST
synthetic_micro_repo_026,synthetic_user_0608,2020,Biological and Environmental Research,FACULTY
synthetic_micro_repo_026,synthetic_user_1063,2020,Biological and Environmental Research,GRADUATE
synthetic_micro_repo_027,synthetic_user_0507,2020,Biological and Environmental Research,POSTDOC
synthetic_micro_repo_027,synthetic_user_0837,2020,Biological and Environmental Research,UNDRGRAD
synthetic_micro_repo_028,synthetic_user_0260,2020,Biological and Environmental Research,POSTDOC
synthetic_micro_repo_028,synthetic_user_0420,2020,Biological and Environmental Research,FACULTY
synthetic_micro_repo_029,synthetic_user_0155,2020,Biological and Environmental Research,NONE
synthetic_micro_repo_029,synthetic_user_0518,2020,Biological and Environmental Research,GRADUATE
synthetic_micro_repo_029,synthetic_user_0648,2020,Biological and Environmental Research,FACULTY
synthetic_micro_repo_029,synthetic_user_0921,2020,Biological and Environmental Research,UNDRGRAD
synthetic_micro_repo_031,synthetic_user_0686,2020,Advanced Scientific Computing Research,POSTDOC
synthetic_micro_repo_031,synthetic_user_0753,2020,Advanced Scientific Computing Research,GRADUATE
synthetic_micro_repo_031,synthetic_user_0830,2020,Advanced Scientific Computing Research,UNDRGRAD
synthetic_micro_repo_031,synthetic_user_1160,2020,Advanced Scientific Computing Research,SCIENTST
synthetic_micro_repo_032,synthetic_user_0081,2020,Advanced Scientific Computing Research,SCIENTST
synthetic_micro_repo_032,synthetic_user_0157,2020,Advanced Scientific Computing Research,UNDRGRAD
synthetic_micro_repo_032,synthetic_user_0782,2020,Advanced Scientific Computing Research,GRADUATE
synthetic_micro_repo_032,synthetic_user_0788,2020,Advanced Scientific Computing Research,POSTDOC
synthetic_micro_repo_033,synthetic_user_0570,2020,Advanced Scientific Computing Research,SCIENTST
synthetic_micro_repo_033,synthetic_user_0723,2020,Advanced Scientific Computing Research,POSTDOC
synthetic_micro_repo_033,synthetic_user_0986,2020,Advanced Scientific Computing Research,POSTDOC
synthetic_micro_repo_034,synthetic_user_0126,2020,Advanced Scientific Computing Research,SCIENTST
synthetic_micro_repo_034,synthetic_user_0272,2020,Advanced Scientific Computing Research,GRADUATE
synthetic_micro_repo_034,synthetic_user_0747,2020,Advanced Scientific Computing Research,GRADUATE
synthetic_micro_repo_038,synthetic_user_0514,2020,Fusion Energy Sciences,UNDRGRAD
synthetic_micro_repo_038,synthetic_user_0794,2020,Fusion Energy Sciences,SCIENTST
synthetic_micro_repo_038,synthetic_user_0909,2020,Fusion Energy Sciences,FACULTY
synthetic_micro_repo_038,synthetic_user_1084,2020,Fusion Energy Sciences,SCIENTST
synthetic_micro_repo_039,synthetic_user_0777,2020,Fusion Energy Sciences,SCIENTST
synthetic_micro_repo_039,synthetic_user_0967,2020,Fusion Energy Sciences,SCIENTST
synthetic_micro_repo_040,synthetic_user_0019,2020,Fusion Energy Sciences,POSTDOC
synthetic_micro_repo_040,synthetic_user_0895,2020,Fusion Energy Sciences,SCIENTST
synthetic_micro_repo_041,synthetic_user_0043,2020,Fusion Energy Sciences,NONE
synthetic_micro_repo_041,synthetic_user_0172,2020,Fusion Energy Sciences,PROSTAFF
synthetic_micro_repo_042,synthetic_user_0449,2020,Fusion Energy Sciences,POSTDOC
synthetic_micro_repo_042,synthetic_user_0539,2020,Fusion Energy Sciences,FACULTY
synthetic_micro_repo_042,synthetic_user_0941,2020,Fusion Energy Sciences,GRADUATE
synthetic_micro_repo_043,synthetic_user_0211,2020,Fusion Energy Sciences,FACULTY
synthetic_micro_repo_043,synthetic_user_0505,2020,Fusion Energy Sciences,OTHER
synthetic_micro_repo_048,synthetic_user_0125,2020,Nuclear Physics,POSTDOC
synthetic_micro_repo_048,synthetic_user_0418,2020,Nuclear Physics,OTHER
synthetic_micro_repo_049,synthetic_user_0883,2020,Nuclear Physics,GRADUATE
synthetic_micro_repo_049,synthetic_user_0939,2020,Nuclear Physics,FACULTY
synthetic_micro_repo_049,synthetic_user_1045,2020,Nuclear Physics,UNDRGRAD
synthetic_micro_repo_054,synthetic_user_0351,2020,ASCR Leadership Computing Challenge,FACULTY
synthetic_micro_repo_054,synthetic_user_0374,2020,ASCR Leadership Computing Challenge,POSTDOC
synthetic_micro_repo_054,synthetic_user_1030,2020,ASCR Leadership Computing Challenge,POSTDOC
synthetic_micro_repo_054,synthetic_user_1049,2020,ASCR Leadership Computing Challenge,UNDRGRAD
synthetic_micro_repo_055,synthetic_user_0190,2020,ASCR Leadership Computing Challenge,POSTDOC
synthetic_micro_repo_055,synthetic_user_0605,2020,ASCR Leadership Computing Challenge,SCIENTST
synthetic_micro_repo_055,synthetic_user_1026,2020,ASCR Leadership Computing Challenge,UNDRGRAD
synthetic_micro_repo_055,synthetic_user_1038,2020,ASCR Leadership Computing Challenge,POSTDOC
synthetic_micro_repo_056,synthetic_user_0111,2020,ASCR Leadership Computing Challenge,PROSTAFF
synthetic_micro_repo_056,synthetic_user_0134,2020,ASCR Leadership Computing Challenge,POSTDOC
synthetic_micro_repo_056,synthetic_user_1103,2020,ASCR Leadership Computing Challenge,OTHER
synthetic_micro_repo_057,synthetic_user_0171,2020,ASCR Leadership Computing Challenge,UNDRGRAD
synthetic_micro_repo_057,synthetic_user_0627,2020,ASCR Leadership Computing Challenge,PROSTAFF
synthetic_repo_001,synthetic_user_0016,2020,Basic Energy Sciences,UNDRGRAD
synthetic_repo_001,synthetic_user_0205,2020,Basic Energy Sciences,SCIENTST
synthetic_repo_001,synthetic_user_0438,2020,Basic Energy Sciences,UNDRGRAD
synthetic_repo_001,synthetic_user_0451,2020,Basic Energy Sciences,OTHER
